地点コード,地点,地点カナ,府県番号,区分,緯度_度,緯度_分,緯度,経度_度,経度_分,経度,標高,雨,風,気温,日照,積雪深,ed_y,ed_m,ed_d,観測終了日,備考1,備考2,備考3,備考4,備考5,観測所番号1,観測所番号2
0024,天塩,テシオ,13,A,44,53.6,44.8933,141,45.7,141.7617,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13061,13900
0025,遠別,エンベツ,13,A,44,43.1,44.7183,141,48.4,141.8067,7,Y,Y,Y,Y,N,9999,99,99,,,,,,,13086,
47404,羽幌,ハボロ,13,S,44,21.8,44.3633,141,42,141.7000,7.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13181,13907
47406,留萌,ルモイ,13,S,43,56.7,43.9450,141,37.9,141.6317,23.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13277,13915
0028,増毛,マシケ,13,A,43,50.9,43.8483,141,30.6,141.5100,20,Y,Y,Y,Y,N,9999,99,99,,,,,,,13311,
1112,古丹別,コタンベツ,13,A,44,15.9,44.2650,141,43.3,141.7217,15,Y,N,N,N,Y,9999,99,99,,,,,,,13206,13910
1213,焼尻,ヤギシリ,13,A,44,25.7,44.4283,141,25.3,141.4217,38,Y,Y,Y,Y,N,9999,99,99,,,,,,,13146,
1216,初山別,ショサンベツ,13,A,44,31.4,44.5233,141,46.2,141.7700,27,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13121,13905
1217,達布,タップ,13,A,44,2.9,44.0483,141,51.4,141.8567,30,Y,Y,Y,Y,N,9999,99,99,,,,,,,13261,
1218,幌糠,ホロヌカ,13,A,43,51.2,43.8533,141,45.6,141.7600,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13321,13920
0029,阿曽岩,アソイワ,14,A,43,18.2,43.3033,141,30.9,141.5150,320,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0030,新篠津,シンシノツ,14,A,43,13.2,43.2200,141,38.7,141.6450,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14101,14910
0031,山口,ヤマグチ,14,A,43,8.8,43.1467,141,13.3,141.2217,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,14116,
0032,手稲山,テイネヤマ,14,A,43,5,43.0833,141,12.1,141.2017,568,Y,N,N,N,N,9999,99,99,,,,,,,14157,
47412,札幌,サツポロ,14,S,43,3.6,43.0600,141,19.7,141.3283,17.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14163,14913
0034,小金湯,コガネユ,14,A,42,57.8,42.9633,141,13,141.2167,230,Y,N,N,N,Y,9999,99,99,,,,,,,14191,14915
0035,恵庭島松,エニワシママツ,14,A,42,55.5,42.9250,141,33.9,141.5650,30,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14206,14920
0036,島松山,シママツヤマ,14,A,42,53.7,42.8950,141,24.8,141.4133,400,Y,N,N,N,N,2004,5,1,2004/5/1,,,,,,,
0037,支笏湖畔,シコツコハン,14,A,42,46.3,42.7717,141,24.4,141.4067,290,Y,Y,Y,Y,N,9999,99,99,,,,,,,14286,
1076,西野幌,ニシノッポロ,14,A,43,2.6,43.0433,141,32.4,141.5400,22,Y,Y,Y,Y,N,2000,10,31,2000/10/31,,,,,,,
1085,石狩,イシカリ,14,A,43,11.6,43.1933,141,22.2,141.3700,5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14121,14905
1193,浜益,ハママス,14,A,43,34.9,43.5817,141,23.2,141.3867,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,14026,
1194,厚田,アツタ,14,A,43,23.9,43.3983,141,26.2,141.4367,5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14071,14900
1459,千歳,チトセ,14,A,42,46.5,42.7750,141,41.5,141.6917,22,Y,Y,Y,N,Y,9999,99,99,,,,,,,14296,14923
1507,江別,エベツ,14,A,43,6.6,43.1100,141,36.1,141.6017,8,Y,Y,Y,Y,N,9999,99,99,,,,,,,14136,
0038,石狩沼田,イシカリヌマタ,15,A,43,48.9,43.8150,141,55.6,141.9267,63,Y,Y,Y,Y,N,9999,99,99,,,,,,,15116,
0039,深川,フカガワ,15,A,43,43.1,43.7183,142,4.4,142.0733,55,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15161,15910
0040,常盤山,トキワヤマ,15,A,43,45.6,43.7600,142,12.1,142.2017,560,Y,N,N,N,N,1984,10,3,1984/10/3,,,,,,,
0041,滝川,タキカワ,15,A,43,34.2,43.5700,141,56.3,141.9383,50,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15241,15930
0042,神威岳,カモイダケ,15,A,43,31.1,43.5183,142,0.3,142.0050,455,Y,N,N,N,N,2005,10,31,2005/10/31,,,,,,,
0043,芦別,アシベツ,15,A,43,31,43.5167,142,11.4,142.1900,90,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15251,15915
0044,美唄,ビバイ,15,A,43,21.8,43.3633,141,49.6,141.8267,16,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15321,15920
47413,岩見沢,イワミザワ,15,S,43,12.7,43.2117,141,47.1,141.7850,42.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15356,15923
0046,下桂沢,シモカツラザワ,15,A,43,15.4,43.2567,141,58.1,141.9683,265,Y,N,N,N,N,2008,9,1,2008/9/1,,,,,,,
0047,長沼,ナガヌマ,15,A,43,0.7,43.0117,141,41.6,141.6933,13,Y,Y,Y,Y,N,9999,99,99,,,,,,,15431,
0048,丁未山,テイミヤマ,15,A,43,4.9,43.0817,141,57.4,141.9567,663,Y,N,N,N,N,1983,7,29,1983/7/29,,,,,,,
0049,夕張,ユウバリ,15,A,43,2.3,43.0383,141,57.4,141.9567,293,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15442,15925
0050,登川山,ノボリカワヤマ,15,A,42,55.4,42.9233,142,5.7,142.0950,365,Y,N,N,N,N,1983,7,29,1983/7/29,,,,,,,
0999,月形,ツキガタ,15,A,43,19.8,43.3300,141,37.1,141.6183,50,Y,Y,Y,Y,N,9999,99,99,,,,,,,15311,
1068,栗沢,クリサワ,15,A,43,7.3,43.1217,141,44.7,141.7450,20,Y,N,N,N,N,9999,99,99,,,,,,,15391,
1270,晩生内,オソキナイ,15,A,43,24.3,43.4050,141,45,141.7500,140,Y,N,N,N,N,1983,8,1,1983/8/1,,,,,,,
1271,桜山,サクラヤマ,15,A,43,40.9,43.6817,141,51,141.8500,230,Y,N,N,N,N,2005,11,1,2005/11/1,,,,,,,
1287,空知吉野,ソラチヨシノ,15,A,43,35.7,43.5950,141,43.9,141.7317,100,Y,Y,Y,Y,N,9999,99,99,,,,,,,15231,
1400,浦臼,ウラウス,15,A,43,25.7,43.4283,141,48.6,141.8100,25,Y,N,N,N,N,9999,99,99,,,,,,,15276,
1401,鹿島,カシマ,15,A,43,4.8,43.0800,142,6,142.1000,310,Y,N,N,N,N,9999,99,99,,,,,,,15451,
1402,沼の沢,ヌマノサワ,15,A,42,57.6,42.9600,142,1.2,142.0200,161,Y,N,N,N,N,9999,99,99,,,,,,,15491,
1419,新城,シンジョウ,15,A,43,36.7,43.6117,142,12.2,142.2033,147,Y,N,N,N,N,9999,99,99,,,,,,,15216,
1566,赤平,アカビラ,15,A,43,33.2,43.5533,142,4,142.0667,120,Y,N,N,N,N,9999,99,99,,,,,,,15247,
1567,雨竜,ウリュウ,15,A,43,39.6,43.6600,141,53.5,141.8917,42,Y,N,N,N,N,9999,99,99,,,,,,,15197,
0051,美国,ビクニ,16,A,43,16.3,43.2717,140,33.8,140.5633,75,Y,Y,Y,Y,N,9999,99,99,,,,,,,16026,
0052,余市,ヨイチ,16,A,43,10.9,43.1817,140,45.5,140.7583,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16076,16905
47411,小樽,オタル,16,S,43,10.9,43.1817,141,1,141.0167,24.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16091,16903
0054,共和,キョウワ,16,A,42,58.8,42.9800,140,36.2,140.6033,15,Y,Y,Y,Y,Y,9999,99,99,,2008年11月12日までの地点名「岩内」,,,,,16156,16910
0055,蘭越,ランコシ,16,A,42,48.6,42.8100,140,32.5,140.5417,39,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16206,16915
47433,倶知安,クツチヤン,16,S,42,54,42.9000,140,45.4,140.7567,176.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16217,16917
0057,脇方台地,ワキカタダイチ,16,A,42,52.6,42.8767,140,56.7,140.9450,525,Y,N,N,N,N,2004,5,1,2004/5/1,,,,,,,
47421,寿都,スツツ,16,S,42,47.7,42.7950,140,13.4,140.2233,33.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16252,16918
0059,桂台,カツラダイ,16,A,42,45.1,42.7517,140,37,140.6167,333,Y,N,N,N,N,2010,3,11,2010/3/11,,,,,,,
0060,喜茂別,キモベツ,16,A,42,47.6,42.7933,140,56.9,140.9483,264,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16286,16920
0061,黒松内,クロマツナイ,16,A,42,39.8,42.6633,140,18.6,140.3100,27,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16321,16925
1072,真狩,マッカリ,16,A,42,46.5,42.7750,140,52.8,140.8800,440,Y,Y,Y,Y,N,9999,99,99,,,,,,,16281,
1091,赤井川,アカイガワ,16,A,43,5,43.0833,140,49.2,140.8200,148,Y,N,N,N,Y,9999,99,99,,,,,,,16126,16900
1208,神恵内,カモエナイ,16,A,43,8.7,43.1450,140,25.4,140.4233,50,Y,Y,Y,Y,N,9999,99,99,,,,,,,16061,
1615,ニセコ,ニセコ,16,A,42,46.7,42.7783,140,40,140.6667,113,Y,N,N,N,N,9999,99,99,,,,,,,16272,
47405,雄武,オウム,17,S,44,34.8,44.5800,142,57.8,142.9633,13.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17036,17903
0063,興部,オコッペ,17,A,44,28.2,44.4700,143,6.5,143.1083,8,Y,Y,Y,Y,N,9999,99,99,,,,,,,17076,
47435,紋別,モンベツ,17,S,44,20.7,44.3450,143,21.3,143.3550,15.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17112,17904
0065,湧別,ユウベツ,17,A,44,12.8,44.2133,143,37.2,143.6200,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,17166,
0066,滝上,タキノウエ,17,A,44,10.6,44.1767,143,3.6,143.0600,165,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17196,17905
0067,上藻別,カミモベツ,17,A,44,11.3,44.1883,143,20.2,143.3367,85,Y,N,N,N,N,9999,99,99,,,,,,,17211,
0068,常呂,トコロ,17,A,44,6.9,44.1150,144,2.2,144.0367,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,17246,
0069,遠軽,エンガル,17,A,44,3.2,44.0533,143,32.4,143.5400,80,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17306,17910
0070,佐呂間,サロマ,17,A,43,59.1,43.9850,143,43.4,143.7233,59,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17316,17915
47409,網走,アバシリ,17,S,44,1,44.0167,144,16.7,144.2783,37.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17341,17917
0072,生田原,イクタハラ,17,A,43,55,43.9167,143,31.9,143.5317,199,Y,Y,Y,Y,N,9999,99,99,,,,,,,17501,
0073,仁頃山,ニコロヤマ,17,A,43,51.6,43.8600,143,44.8,143.7467,261,Y,N,N,N,N,9999,99,99,,,,,,,17512,
0074,北見,キタミ,17,A,43,48.6,43.8100,143,52.5,143.8750,114,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17521,17925
0075,小清水,コシミズ,17,A,43,50.5,43.8417,144,29.1,144.4850,52,Y,Y,Y,Y,N,9999,99,99,,,,,,,17546,
0076,斜里,シャリ,17,A,43,53,43.8833,144,42,144.7000,15,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17561,17940
0077,留辺蘂,ルベシベ,17,A,43,44.5,43.7417,143,27,143.4500,325,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17596,17930
0078,留辺蘂山,ルベシベヤマ,17,A,43,45.5,43.7583,143,36.2,143.6033,470,Y,N,N,N,N,1984,10,4,1984/10/4,,,,,,,
0079,美幌,ビホロ,17,A,43,46.2,43.7700,144,10.3,144.1717,60,Y,Y,Y,Y,N,9999,99,99,,,,,,,17631,
0080,藻琴山,モコトヤマ,17,A,43,43.6,43.7267,144,17.9,144.2983,518,Y,N,N,N,N,2010,3,18,2010/3/18,,,,,,,
0081,チミケップ山,チミケップヤマ,17,A,43,38.7,43.6450,143,53.4,143.8900,600,Y,N,N,N,N,2005,9,27,2005/9/27,,,,,,,
0082,津別,ツベツ,17,A,43,42.1,43.7017,144,2,144.0333,100,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17717,17950
0083,北見中山,キタミナカヤマ,17,A,43,35.9,43.5983,143,27.6,143.4600,905,Y,N,N,N,N,2005,9,28,2005/9/28,,,,,,,
0981,宇登呂,ウトロ,17,A,44,3.1,44.0517,144,58.9,144.9817,144,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17351,17935
1073,西興部,ニシオコッペ,17,A,44,19.9,44.3317,142,56.2,142.9367,120,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17091,17900
1092,白滝,シラタキ,17,A,43,51.9,43.8650,143,9.2,143.1533,475,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17482,17955
1209,境野,サカイノ,17,A,43,42.4,43.7067,143,38.6,143.6433,184,Y,Y,Y,Y,N,9999,99,99,,,,,,,17607,
1263,東藻琴,ヒガシモコト,17,A,43,50.4,43.8400,144,17.1,144.2850,58,Y,N,N,N,N,9999,99,99,,,,,,,17541,
1420,丸瀬布,マルセップ,17,A,43,57.2,43.9533,143,19.7,143.3283,242,Y,N,N,N,N,9999,99,99,,,,,,,17386,
1460,女満別,メマンベツ,17,A,43,52.8,43.8800,144,9.8,144.1633,33,Y,Y,Y,N,Y,9999,99,99,,,,,,,17531,17965
1487,紋別小向,モンベツコムカイ,17,A,44,18.2,44.3033,143,24.2,143.4033,18,Y,Y,Y,N,Y,9999,99,99,,,,,,,17116,17960
1568,津別二又,ツベツフタマタ,17,A,43,35,43.5833,143,51.9,143.8650,221,Y,N,N,N,N,9999,99,99,,,,,,,17776,
1569,置戸常元,オケトツネモト,17,A,43,37.2,43.6200,143,26.4,143.4400,368,Y,N,N,N,N,9999,99,99,,,,,,,17686,
1617,山園,ヤマゾノ,17,A,43,44.6,43.7433,144,20.2,144.3367,361,Y,N,N,N,N,9999,99,99,,,,,,,17642,
0084,羅臼,ラウス,18,A,44,1.4,44.0233,145,11.2,145.1867,15,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18038,18925
0085,標津,シベツ,18,A,43,39.7,43.6617,145,7.9,145.1317,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,18136,
0086,中標津,ナカシベツ,18,A,43,32.6,43.5433,144,58.7,144.9783,50,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18171,18910
0087,計根別,ケネベツ,18,A,43,29.1,43.4850,144,48.5,144.8083,110,Y,Y,Y,Y,N,2003,10,16,2003/10/16,,,,,,,
0088,別海,ベツカイ,18,A,43,22.9,43.3817,145,7.1,145.1183,23,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18256,18915
47420,根室,ネムロ,18,S,43,19.8,43.3300,145,35.1,145.5850,25.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18273,18917
1056,納沙布,ノサップ,18,A,43,23.6,43.3933,145,45.5,145.7583,12,Y,Y,Y,Y,N,9999,99,99,,,,,,,18281,
1196,厚床,アットコ,18,A,43,13.9,43.2317,145,15.5,145.2583,40,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18311,18920
1266,糸櫛別,イトクシベツ,18,A,43,43.3,43.7217,144,59.3,144.9883,115,Y,N,N,N,N,9999,99,99,,,,,,,18091,
1489,根室中標津,ネムロナカシベツ,18,A,43,34.6,43.5767,144,57.6,144.9600,65,Y,Y,Y,N,Y,9999,99,99,,,,,,,18174,18930
1547,上標津,カミシベツ,18,A,43,31.2,43.5200,144,44.8,144.7467,181,Y,Y,Y,Y,N,9999,99,99,,,,,,,18161,
0090,川湯,カワユ,19,A,43,37,43.6167,144,27.4,144.4567,158,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19021,19900
0091,阿寒湖畔,アカンコハン,19,A,43,26.2,43.4367,144,5.1,144.0850,450,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19076,19910
0092,弟子屈,テシカガ,19,A,43,28.7,43.4783,144,26.8,144.4467,107,Y,N,N,N,N,1977,10,6,1977/10/6,,,,,,,
0093,標茶,シベチャ,19,A,43,17.5,43.2917,144,35.2,144.5867,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19151,19915
0094,幌呂台地,ホロロダイチ,19,A,43,16.7,43.2783,144,13.6,144.2267,225,Y,N,N,N,N,1983,8,1,1983/8/1,,,,,,,
0095,中徹別,ナカテシベツ,19,A,43,11.9,43.1983,144,8.5,144.1417,80,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19261,19925
0096,阿寒,アカン,19,A,43,6.8,43.1133,144,7.4,144.1233,40,Y,N,N,N,N,9999,99,99,,1983年8月4日までの地点名「阿寒台」,,,,,19346,
0097,霧多布,キリタップ,19,A,43,4.6,43.0767,145,7.7,145.1283,2,Y,N,N,N,N,1976,11,1,1976/11/1,,,,,,,
0098,白糠,シラヌカ,19,A,42,58.2,42.9700,144,3.7,144.0617,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19416,19940
47418,釧路,クシロ,19,S,42,59.1,42.9850,144,22.6,144.3767,4.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19432,19950
1107,二俣,フタマタ,19,A,42,58.3,42.9717,143,53.5,143.8917,45,Y,N,N,N,N,9999,99,99,,,,,,,19406,
1186,鶴居,ツルイ,19,A,43,13.9,43.2317,144,19.5,144.3250,38,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19191,19920
1187,弟子屈,テシカガ,19,A,43,30.6,43.5100,144,28,144.4667,170,Y,Y,Y,Y,N,9999,99,99,,,,,,,19051,
1192,太田,オオタ,19,A,43,5.4,43.0900,144,46.7,144.7783,85,Y,Y,Y,Y,Y,9999,99,99,,,,,,,19376,19930
1195,榊町,サカキマチ,19,A,43,7.2,43.1200,145,6.6,145.1100,2,Y,Y,Y,Y,N,9999,99,99,,,,,,,19311,
1283,知方学,チッポマナイ,19,A,42,56.3,42.9383,144,44.1,144.7350,149,Y,Y,Y,Y,N,9999,99,99,,,,,,,19451,
1403,塘路,トウロ,19,A,43,8.9,43.1483,144,29.8,144.4967,25,Y,N,N,N,N,9999,99,99,,,,,,,19281,
1417,茶内原野,チャナイゲンヤ,19,A,43,10.4,43.1733,144,58,144.9667,70,Y,N,N,N,N,9999,99,99,,,,,,,19301,
1461,鶴丘,ツルオカ,19,A,43,2.4,43.0400,144,11.5,144.1917,95,Y,Y,Y,N,Y,9999,99,99,,,,,,,19347,19935
0100,軍艦山,グンカンヤマ,20,A,43,28.7,43.4783,143,7.6,143.1267,900,Y,N,N,N,N,1984,10,1,1984/10/1,,,,,,,
0101,陸別,リクベツ,20,A,43,28.1,43.4683,143,44.3,143.7383,207,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20146,20900
